plot,genres
A brave knight fights an evil dragon to save a kingdom from destruction.,"['Action', 'Adventure', 'Fantasy']"
Two lovers from different social classes fall in love on a sinking ship.,"['Romance', 'Drama', 'Historical']"
A team of scientists discovers a dangerous alien species on a distant planet.,"['Science Fiction', 'Horror', 'Adventure']"
A detective investigates a series of mysterious murders in a small town.,"['Mystery', 'Crime', 'Thriller']"
A young wizard learns to use magic and fights an evil dark lord.,"['Fantasy', 'Adventure', 'Coming of Age']"
Superheroes team up to save the world from an intergalactic threat.,"['Action', 'Science Fiction', 'Adventure']"
A family struggles to survive during a zombie apocalypse.,"['Horror', 'Drama', 'Survival']"
An underdog sports team fights to win the championship against all odds.,"['Sports', 'Drama', 'Comedy']"
A time traveler tries to prevent a future apocalyptic war.,"['Science Fiction', 'Action', 'Thriller']"
Spies engage in a high-stakes international espionage mission.,"['Action', 'Thriller', 'Spy']"
